condition,prompt_id,seed,latency_s,peak_vram_mb,clip_score,lpips,image_path
int8,p07_hands,1337,10.935,2210.3,0.282391,0.038246,reports/experiments/exp1_quantization_quality/images/int8/p07_hands_seed1337.png
int8,p08_crowd,42,11.63,2210.3,0.338669,0.122386,reports/experiments/exp1_quantization_quality/images/int8/p08_crowd_seed42.png
int8,p08_crowd,123,11.833,2210.3,0.344577,0.174801,reports/experiments/exp1_quantization_quality/images/int8/p08_crowd_seed123.png
int8,p08_crowd,456,9.791,2210.3,0.343617,0.11782,reports/experiments/exp1_quantization_quality/images/int8/p08_crowd_seed456.png
int8,p08_crowd,789,12.341,2210.3,0.320986,0.115418,reports/experiments/exp1_quantization_quality/images/int8/p08_crowd_seed789.png
int8,p08_crowd,1337,13.146,2210.3,0.35194,0.252164,reports/experiments/exp1_quantization_quality/images/int8/p08_crowd_seed1337.png
nf4,p01_portrait,42,7.27,1382.0,0.363022,0.582347,reports/experiments/exp1_quantization_quality/images/nf4/p01_portrait_seed42.png
nf4,p01_portrait,123,6.487,1382.0,0.318604,0.243438,reports/experiments/exp1_quantization_quality/images/nf4/p01_portrait_seed123.png
nf4,p01_portrait,456,6.626,1382.0,0.30705,0.296275,reports/experiments/exp1_quantization_quality/images/nf4/p01_portrait_seed456.png
nf4,p01_portrait,789,7.026,1382.0,0.320151,0.277,reports/experiments/exp1_quantization_quality/images/nf4/p01_portrait_seed789.png
nf4,p01_portrait,1337,6.693,1382.0,0.336896,0.300203,reports/experiments/exp1_quantization_quality/images/nf4/p01_portrait_seed1337.png
nf4,p02_landscape,42,6.488,1382.0,0.329697,0.494914,reports/experiments/exp1_quantization_quality/images/nf4/p02_landscape_seed42.png
nf4,p02_landscape,123,6.557,1382.0,0.296912,0.331211,reports/experiments/exp1_quantization_quality/images/nf4/p02_landscape_seed123.png
nf4,p02_landscape,456,6.599,1382.0,0.310765,0.267377,reports/experiments/exp1_quantization_quality/images/nf4/p02_landscape_seed456.png
nf4,p02_landscape,789,6.634,1382.0,0.304189,0.301869,reports/experiments/exp1_quantization_quality/images/nf4/p02_landscape_seed789.png
nf4,p02_landscape,1337,7.306,1382.0,0.325592,0.229344,reports/experiments/exp1_quantization_quality/images/nf4/p02_landscape_seed1337.png
nf4,p03_abstract,42,6.624,1382.0,0.30669,0.332922,reports/experiments/exp1_quantization_quality/images/nf4/p03_abstract_seed42.png
nf4,p03_abstract,123,6.41,1382.0,0.315852,0.338419,reports/experiments/exp1_quantization_quality/images/nf4/p03_abstract_seed123.png
nf4,p03_abstract,456,6.633,1382.0,0.313944,0.570559,reports/experiments/exp1_quantization_quality/images/nf4/p03_abstract_seed456.png
nf4,p03_abstract,789,6.698,1382.0,0.297523,0.345834,reports/experiments/exp1_quantization_quality/images/nf4/p03_abstract_seed789.png
nf4,p03_abstract,1337,6.574,1382.0,0.298024,0.556517,reports/experiments/exp1_quantization_quality/images/nf4/p03_abstract_seed1337.png
nf4,p04_text,42,6.411,1382.0,0.313237,0.632493,reports/experiments/exp1_quantization_quality/images/nf4/p04_text_seed42.png
nf4,p04_text,123,6.538,1382.0,0.291127,0.275582,reports/experiments/exp1_quantization_quality/images/nf4/p04_text_seed123.png
nf4,p04_text,456,6.527,1382.0,0.315174,0.532654,reports/experiments/exp1_quantization_quality/images/nf4/p04_text_seed456.png
nf4,p04_text,789,6.474,1382.0,0.272048,0.470131,reports/experiments/exp1_quantization_quality/images/nf4/p04_text_seed789.png
nf4,p04_text,1337,7.345,1382.0,0.307469,0.496517,reports/experiments/exp1_quantization_quality/images/nf4/p04_text_seed1337.png
nf4,p05_texture,42,6.528,1382.0,0.341072,0.35309,reports/experiments/exp1_quantization_quality/images/nf4/p05_texture_seed42.png
nf4,p05_texture,123,6.887,1382.0,0.318817,0.551044,reports/experiments/exp1_quantization_quality/images/nf4/p05_texture_seed123.png
nf4,p05_texture,456,6.547,1382.0,0.28674,0.439816,reports/experiments/exp1_quantization_quality/images/nf4/p05_texture_seed456.png
nf4,p05_texture,789,6.833,1382.0,0.318797,0.532655,reports/experiments/exp1_quantization_quality/images/nf4/p05_texture_seed789.png
nf4,p05_texture,1337,6.555,1382.0,0.321712,0.442247,reports/experiments/exp1_quantization_quality/images/nf4/p05_texture_seed1337.png
nf4,p06_arch,42,6.549,1382.0,0.305661,0.346532,reports/experiments/exp1_quantization_quality/images/nf4/p06_arch_seed42.png
nf4,p06_arch,123,6.498,1382.0,0.314522,0.363981,reports/experiments/exp1_quantization_quality/images/nf4/p06_arch_seed123.png
nf4,p06_arch,456,6.675,1382.0,0.322149,0.416473,reports/experiments/exp1_quantization_quality/images/nf4/p06_arch_seed456.png
nf4,p06_arch,789,6.474,1382.0,0.325265,0.376768,reports/experiments/exp1_quantization_quality/images/nf4/p06_arch_seed789.png
nf4,p06_arch,1337,6.537,1382.0,0.32696,0.442228,reports/experiments/exp1_quantization_quality/images/nf4/p06_arch_seed1337.png
nf4,p07_hands,42,6.281,1382.0,0.28688,0.311856,reports/experiments/exp1_quantization_quality/images/nf4/p07_hands_seed42.png
nf4,p07_hands,123,5.793,1382.0,0.27203,0.327003,reports/experiments/exp1_quantization_quality/images/nf4/p07_hands_seed123.png
nf4,p07_hands,456,4.641,1382.0,0.300109,0.302975,reports/experiments/exp1_quantization_quality/images/nf4/p07_hands_seed456.png
nf4,p07_hands,789,5.232,1382.0,0.336129,0.504217,reports/experiments/exp1_quantization_quality/images/nf4/p07_hands_seed789.png
nf4,p07_hands,1337,5.819,1382.0,0.288118,0.321356,reports/experiments/exp1_quantization_quality/images/nf4/p07_hands_seed1337.png
nf4,p08_crowd,42,5.899,1382.0,0.329802,0.353,reports/experiments/exp1_quantization_quality/images/nf4/p08_crowd_seed42.png
nf4,p08_crowd,123,4.36,1382.0,0.355617,0.441628,reports/experiments/exp1_quantization_quality/images/nf4/p08_crowd_seed123.png
nf4,p08_crowd,456,4.559,1382.0,0.35982,0.465329,reports/experiments/exp1_quantization_quality/images/nf4/p08_crowd_seed456.png
nf4,p08_crowd,789,6.643,1382.0,0.340283,0.318527,reports/experiments/exp1_quantization_quality/images/nf4/p08_crowd_seed789.png
nf4,p08_crowd,1337,6.805,1382.0,0.339433,0.378218,reports/experiments/exp1_quantization_quality/images/nf4/p08_crowd_seed1337.png
