strength,prompt_id,seed,latency_s,clip_score,hps_score,ir_score,lpips_vs_ref,lpips_vs_prev,image_path
0.5,p01,123,23.454,0.310251,0.241455,0.441075,0.305192,0.386216,reports/experiments/exp5_sdxl/images/strength_0.5/p01_seed123.png
0.5,p01,456,23.397,0.307407,0.240845,0.244393,0.322804,0.399417,reports/experiments/exp5_sdxl/images/strength_0.5/p01_seed456.png
0.5,p01,789,23.51,0.313529,0.22644,-0.043452,0.317839,0.393505,reports/experiments/exp5_sdxl/images/strength_0.5/p01_seed789.png
0.5,p01,1337,23.233,0.300327,0.23999,0.419485,0.295234,0.390529,reports/experiments/exp5_sdxl/images/strength_0.5/p01_seed1337.png
0.5,p02,42,23.396,0.341394,0.312744,1.216928,0.214245,0.115294,reports/experiments/exp5_sdxl/images/strength_0.5/p02_seed42.png
0.5,p02,123,23.409,0.34537,0.307617,1.609204,0.240171,0.309577,reports/experiments/exp5_sdxl/images/strength_0.5/p02_seed123.png
0.5,p02,456,23.429,0.347666,0.315186,1.633907,0.236042,0.302254,reports/experiments/exp5_sdxl/images/strength_0.5/p02_seed456.png
0.5,p02,789,23.569,0.353647,0.309814,1.31697,0.271119,0.287999,reports/experiments/exp5_sdxl/images/strength_0.5/p02_seed789.png
0.5,p02,1337,23.496,0.350835,0.313965,1.647819,0.253634,0.268472,reports/experiments/exp5_sdxl/images/strength_0.5/p02_seed1337.png
0.5,p03,42,23.449,0.28655,0.317871,1.410533,0.092513,0.102218,reports/experiments/exp5_sdxl/images/strength_0.5/p03_seed42.png
0.5,p03,123,23.517,0.2834,0.266602,0.977255,0.41589,0.460326,reports/experiments/exp5_sdxl/images/strength_0.5/p03_seed123.png
0.5,p03,456,23.543,0.295479,0.294434,1.410601,0.357309,0.487277,reports/experiments/exp5_sdxl/images/strength_0.5/p03_seed456.png
0.5,p03,789,23.566,0.287689,0.277344,1.418706,0.333635,0.562143,reports/experiments/exp5_sdxl/images/strength_0.5/p03_seed789.png
0.5,p03,1337,23.513,0.286004,0.275635,1.109445,0.342741,0.530457,reports/experiments/exp5_sdxl/images/strength_0.5/p03_seed1337.png
0.5,p04,42,23.543,0.31658,0.23291,-2.129663,0.054899,0.111893,reports/experiments/exp5_sdxl/images/strength_0.5/p04_seed42.png
0.5,p04,123,23.553,0.338926,0.243774,-1.22392,0.302067,0.513695,reports/experiments/exp5_sdxl/images/strength_0.5/p04_seed123.png
0.5,p04,456,23.558,0.359177,0.244507,-1.377422,0.396199,0.490014,reports/experiments/exp5_sdxl/images/strength_0.5/p04_seed456.png
0.5,p04,789,23.602,0.369642,0.269531,-0.904766,0.330542,0.644715,reports/experiments/exp5_sdxl/images/strength_0.5/p04_seed789.png
0.5,p04,1337,23.55,0.346766,0.235596,-1.477886,0.278197,0.693411,reports/experiments/exp5_sdxl/images/strength_0.5/p04_seed1337.png
0.5,p05,42,23.394,0.395109,0.303955,0.208564,0.058189,0.101835,reports/experiments/exp5_sdxl/images/strength_0.5/p05_seed42.png
0.5,p05,123,23.557,0.379109,0.312988,0.883923,0.318754,0.542212,reports/experiments/exp5_sdxl/images/strength_0.5/p05_seed123.png
0.5,p05,456,23.533,0.380643,0.327637,-0.007639,0.328467,0.599267,reports/experiments/exp5_sdxl/images/strength_0.5/p05_seed456.png
0.5,p05,789,23.417,0.374032,0.340088,0.849333,0.300379,0.553811,reports/experiments/exp5_sdxl/images/strength_0.5/p05_seed789.png
0.5,p05,1337,23.459,0.368816,0.30835,-0.263909,0.240881,0.681697,reports/experiments/exp5_sdxl/images/strength_0.5/p05_seed1337.png
0.5,p06,42,23.45,0.302098,0.279297,0.580435,0.142493,0.17462,reports/experiments/exp5_sdxl/images/strength_0.5/p06_seed42.png
0.5,p06,123,23.406,0.300229,0.273926,0.827253,0.489785,0.372657,reports/experiments/exp5_sdxl/images/strength_0.5/p06_seed123.png
0.5,p06,456,23.447,0.299679,0.282959,0.553719,0.488272,0.438035,reports/experiments/exp5_sdxl/images/strength_0.5/p06_seed456.png
0.5,p06,789,23.363,0.29816,0.275391,0.369714,0.301088,0.354379,reports/experiments/exp5_sdxl/images/strength_0.5/p06_seed789.png
0.5,p06,1337,23.209,0.296743,0.277832,0.69044,0.295761,0.293184,reports/experiments/exp5_sdxl/images/strength_0.5/p06_seed1337.png
0.5,p07,42,23.506,0.271601,0.288574,-0.404387,0.141054,0.201691,reports/experiments/exp5_sdxl/images/strength_0.5/p07_seed42.png
0.5,p07,123,23.282,0.272601,0.288086,-0.067832,0.236305,0.430183,reports/experiments/exp5_sdxl/images/strength_0.5/p07_seed123.png
0.5,p07,456,23.418,0.273726,0.265381,-1.021127,0.26293,0.369943,reports/experiments/exp5_sdxl/images/strength_0.5/p07_seed456.png
