cfg_value,prompt_id,seed,latency_s,clip_score,hps_score,ir_score,lpips_vs_ref,lpips_vs_prev,image_path
12,p08_crowd,42,16.508,0.32871,0.323486,1.519453,0.377994,0.326502,reports/experiments/exp3_sdxl/images/cfg_12/p08_crowd_seed42.png
12,p08_crowd,123,16.494,0.334498,0.320068,1.757117,0.445587,0.382332,reports/experiments/exp3_sdxl/images/cfg_12/p08_crowd_seed123.png
12,p08_crowd,456,16.482,0.319234,0.313477,1.567498,0.305395,0.267321,reports/experiments/exp3_sdxl/images/cfg_12/p08_crowd_seed456.png
12,p08_crowd,789,16.502,0.341527,0.309814,1.143912,0.369266,0.330661,reports/experiments/exp3_sdxl/images/cfg_12/p08_crowd_seed789.png
12,p08_crowd,1337,16.437,0.316582,0.281738,1.042015,0.390294,0.363658,reports/experiments/exp3_sdxl/images/cfg_12/p08_crowd_seed1337.png
15,p01_portrait,42,16.085,0.380784,0.335693,1.738429,0.414492,0.279676,reports/experiments/exp3_sdxl/images/cfg_15/p01_portrait_seed42.png
15,p01_portrait,123,16.51,0.382216,0.325195,1.544754,0.508201,0.159907,reports/experiments/exp3_sdxl/images/cfg_15/p01_portrait_seed123.png
15,p01_portrait,456,16.449,0.379688,0.323975,1.536484,0.464305,0.135857,reports/experiments/exp3_sdxl/images/cfg_15/p01_portrait_seed456.png
15,p01_portrait,789,16.434,0.383161,0.357178,1.564453,0.282585,0.125937,reports/experiments/exp3_sdxl/images/cfg_15/p01_portrait_seed789.png
15,p01_portrait,1337,16.349,0.375949,0.343262,1.553096,0.277409,0.080432,reports/experiments/exp3_sdxl/images/cfg_15/p01_portrait_seed1337.png
15,p02_landscape,42,16.534,0.336047,0.277344,1.020411,0.268618,0.118692,reports/experiments/exp3_sdxl/images/cfg_15/p02_landscape_seed42.png
15,p02_landscape,123,16.554,0.339076,0.301758,1.078131,0.361049,0.214128,reports/experiments/exp3_sdxl/images/cfg_15/p02_landscape_seed123.png
15,p02_landscape,456,16.313,0.333768,0.261475,1.173613,0.322294,0.091739,reports/experiments/exp3_sdxl/images/cfg_15/p02_landscape_seed456.png
15,p02_landscape,789,16.439,0.343908,0.269775,1.254038,0.36022,0.201929,reports/experiments/exp3_sdxl/images/cfg_15/p02_landscape_seed789.png
15,p02_landscape,1337,16.585,0.33298,0.275879,1.172378,0.317759,0.139377,reports/experiments/exp3_sdxl/images/cfg_15/p02_landscape_seed1337.png
15,p03_abstract,42,16.559,0.324759,0.237915,0.172242,0.436375,0.450401,reports/experiments/exp3_sdxl/images/cfg_15/p03_abstract_seed42.png
15,p03_abstract,123,16.475,0.321317,0.237915,0.209821,0.43058,0.397851,reports/experiments/exp3_sdxl/images/cfg_15/p03_abstract_seed123.png
15,p03_abstract,456,16.376,0.331405,0.231323,0.613639,0.412455,0.404952,reports/experiments/exp3_sdxl/images/cfg_15/p03_abstract_seed456.png
15,p03_abstract,789,16.375,0.32896,0.243896,-0.234641,0.53816,0.484628,reports/experiments/exp3_sdxl/images/cfg_15/p03_abstract_seed789.png
15,p03_abstract,1337,16.475,0.33636,0.253662,0.550995,0.498199,0.384928,reports/experiments/exp3_sdxl/images/cfg_15/p03_abstract_seed1337.png
15,p04_text,42,16.268,0.290747,0.3125,0.998354,0.503244,0.472915,reports/experiments/exp3_sdxl/images/cfg_15/p04_text_seed42.png
15,p04_text,123,16.568,0.310434,0.287354,0.841752,0.433956,0.414895,reports/experiments/exp3_sdxl/images/cfg_15/p04_text_seed123.png
15,p04_text,456,16.426,0.315936,0.278076,0.512147,0.54583,0.43475,reports/experiments/exp3_sdxl/images/cfg_15/p04_text_seed456.png
15,p04_text,789,16.51,0.309368,0.278564,0.545415,0.380895,0.283851,reports/experiments/exp3_sdxl/images/cfg_15/p04_text_seed789.png
15,p04_text,1337,16.179,0.306142,0.279053,0.937171,0.51453,0.424658,reports/experiments/exp3_sdxl/images/cfg_15/p04_text_seed1337.png
15,p05_texture,42,16.479,0.300124,0.257324,-0.440157,0.394191,0.221649,reports/experiments/exp3_sdxl/images/cfg_15/p05_texture_seed42.png
15,p05_texture,123,16.405,0.316538,0.24353,0.260773,0.450161,0.301662,reports/experiments/exp3_sdxl/images/cfg_15/p05_texture_seed123.png
15,p05_texture,456,16.443,0.293207,0.250977,-0.817103,0.362176,0.285293,reports/experiments/exp3_sdxl/images/cfg_15/p05_texture_seed456.png
15,p05_texture,789,16.409,0.282701,0.246826,-0.54973,0.468782,0.376845,reports/experiments/exp3_sdxl/images/cfg_15/p05_texture_seed789.png
15,p05_texture,1337,16.378,0.318814,0.258057,-0.435457,0.5232,0.391583,reports/experiments/exp3_sdxl/images/cfg_15/p05_texture_seed1337.png
15,p06_arch,42,16.51,0.314058,0.321289,0.297093,0.435559,0.372293,reports/experiments/exp3_sdxl/images/cfg_15/p06_arch_seed42.png
15,p06_arch,123,16.397,0.338766,0.337646,0.215327,0.374654,0.349455,reports/experiments/exp3_sdxl/images/cfg_15/p06_arch_seed123.png
15,p06_arch,456,16.434,0.306562,0.321777,0.362202,0.56069,0.372452,reports/experiments/exp3_sdxl/images/cfg_15/p06_arch_seed456.png
15,p06_arch,789,16.453,0.327308,0.320557,0.152651,0.405577,0.400543,reports/experiments/exp3_sdxl/images/cfg_15/p06_arch_seed789.png
15,p06_arch,1337,16.451,0.339754,0.325928,0.167721,0.391927,0.368336,reports/experiments/exp3_sdxl/images/cfg_15/p06_arch_seed1337.png
15,p07_hands,42,16.391,0.310434,0.296875,0.253758,0.452832,0.499194,reports/experiments/exp3_sdxl/images/cfg_15/p07_hands_seed42.png
15,p07_hands,123,16.134,0.317038,0.258057,0.02538,0.482459,0.389435,reports/experiments/exp3_sdxl/images/cfg_15/p07_hands_seed123.png
15,p07_hands,456,16.145,0.304065,0.296875,0.471007,0.506786,0.430709,reports/experiments/exp3_sdxl/images/cfg_15/p07_hands_seed456.png
15,p07_hands,789,16.466,0.327354,0.288086,0.527506,0.470244,0.403989,reports/experiments/exp3_sdxl/images/cfg_15/p07_hands_seed789.png
15,p07_hands,1337,16.512,0.344418,0.264404,0.505131,0.277772,0.184472,reports/experiments/exp3_sdxl/images/cfg_15/p07_hands_seed1337.png
15,p08_crowd,42,16.13,0.348548,0.33374,1.378444,0.458624,0.365451,reports/experiments/exp3_sdxl/images/cfg_15/p08_crowd_seed42.png
15,p08_crowd,123,16.338,0.352001,0.318115,1.701317,0.495075,0.397876,reports/experiments/exp3_sdxl/images/cfg_15/p08_crowd_seed123.png
15,p08_crowd,456,16.453,0.32574,0.325195,1.754105,0.418415,0.386201,reports/experiments/exp3_sdxl/images/cfg_15/p08_crowd_seed456.png
15,p08_crowd,789,16.474,0.352318,0.317383,1.333756,0.501752,0.393747,reports/experiments/exp3_sdxl/images/cfg_15/p08_crowd_seed789.png
15,p08_crowd,1337,16.307,0.310328,0.307373,1.330783,0.470661,0.417409,reports/experiments/exp3_sdxl/images/cfg_15/p08_crowd_seed1337.png
