strength,prompt_id,seed,latency_s,clip_score,lpips_vs_ref,lpips_vs_prev,image_path
0.25,pp_005,456,5.119,0.371052,0.798188,0.321815,reports/experiments/exp5_controlnet_strength/images/strength_0.25/pp_005_seed456.png
0.25,pp_005,789,5.08,0.373147,0.732164,0.426317,reports/experiments/exp5_controlnet_strength/images/strength_0.25/pp_005_seed789.png
0.25,pp_005,1337,5.066,0.377959,0.784066,0.284531,reports/experiments/exp5_controlnet_strength/images/strength_0.25/pp_005_seed1337.png
0.25,pp_006,42,5.053,0.31791,0.544521,0.390221,reports/experiments/exp5_controlnet_strength/images/strength_0.25/pp_006_seed42.png
0.25,pp_006,123,5.1,0.305904,0.487525,0.258542,reports/experiments/exp5_controlnet_strength/images/strength_0.25/pp_006_seed123.png
0.25,pp_006,456,5.065,0.303993,0.693874,0.189505,reports/experiments/exp5_controlnet_strength/images/strength_0.25/pp_006_seed456.png
0.25,pp_006,789,5.086,0.297452,0.658428,0.410093,reports/experiments/exp5_controlnet_strength/images/strength_0.25/pp_006_seed789.png
0.25,pp_006,1337,5.114,0.304771,0.446533,0.358305,reports/experiments/exp5_controlnet_strength/images/strength_0.25/pp_006_seed1337.png
0.25,pp_007,42,5.157,0.296556,0.780975,0.500815,reports/experiments/exp5_controlnet_strength/images/strength_0.25/pp_007_seed42.png
0.25,pp_007,123,5.108,0.296406,0.65711,0.593776,reports/experiments/exp5_controlnet_strength/images/strength_0.25/pp_007_seed123.png
0.25,pp_007,456,5.074,0.280509,0.508182,0.436904,reports/experiments/exp5_controlnet_strength/images/strength_0.25/pp_007_seed456.png
0.25,pp_007,789,5.95,0.296327,0.732262,0.529684,reports/experiments/exp5_controlnet_strength/images/strength_0.25/pp_007_seed789.png
0.25,pp_007,1337,6.156,0.297059,0.683456,0.286456,reports/experiments/exp5_controlnet_strength/images/strength_0.25/pp_007_seed1337.png
0.25,pp_008,42,6.416,0.298109,0.602324,0.470856,reports/experiments/exp5_controlnet_strength/images/strength_0.25/pp_008_seed42.png
0.25,pp_008,123,6.08,0.256317,0.717259,0.462686,reports/experiments/exp5_controlnet_strength/images/strength_0.25/pp_008_seed123.png
0.25,pp_008,456,5.266,0.290088,0.550261,0.209255,reports/experiments/exp5_controlnet_strength/images/strength_0.25/pp_008_seed456.png
0.25,pp_008,789,6.244,0.345514,0.906125,0.535346,reports/experiments/exp5_controlnet_strength/images/strength_0.25/pp_008_seed789.png
0.25,pp_008,1337,6.017,0.283757,0.691458,0.363612,reports/experiments/exp5_controlnet_strength/images/strength_0.25/pp_008_seed1337.png
0.5,pp_001,42,6.061,0.246231,0.541652,0.520397,reports/experiments/exp5_controlnet_strength/images/strength_0.5/pp_001_seed42.png
0.5,pp_001,123,6.067,0.265377,0.514514,0.474744,reports/experiments/exp5_controlnet_strength/images/strength_0.5/pp_001_seed123.png
0.5,pp_001,456,5.234,0.248825,0.565149,0.52596,reports/experiments/exp5_controlnet_strength/images/strength_0.5/pp_001_seed456.png
0.5,pp_001,789,5.311,0.258427,0.487046,0.419099,reports/experiments/exp5_controlnet_strength/images/strength_0.5/pp_001_seed789.png
0.5,pp_001,1337,6.131,0.24637,0.544374,0.605637,reports/experiments/exp5_controlnet_strength/images/strength_0.5/pp_001_seed1337.png
0.5,pp_002,42,6.341,0.326217,0.338584,0.461428,reports/experiments/exp5_controlnet_strength/images/strength_0.5/pp_002_seed42.png
0.5,pp_002,123,6.329,0.312001,0.289371,0.449724,reports/experiments/exp5_controlnet_strength/images/strength_0.5/pp_002_seed123.png
0.5,pp_002,456,6.366,0.299393,0.402308,0.560262,reports/experiments/exp5_controlnet_strength/images/strength_0.5/pp_002_seed456.png
0.5,pp_002,789,6.32,0.332862,0.317548,0.526379,reports/experiments/exp5_controlnet_strength/images/strength_0.5/pp_002_seed789.png
0.5,pp_002,1337,6.357,0.31657,0.307079,0.610077,reports/experiments/exp5_controlnet_strength/images/strength_0.5/pp_002_seed1337.png
0.5,pp_003,42,6.365,0.283538,0.456885,0.543293,reports/experiments/exp5_controlnet_strength/images/strength_0.5/pp_003_seed42.png
0.5,pp_003,123,6.374,0.266564,0.430921,0.750318,reports/experiments/exp5_controlnet_strength/images/strength_0.5/pp_003_seed123.png
0.5,pp_003,456,6.175,0.282596,0.468231,0.604894,reports/experiments/exp5_controlnet_strength/images/strength_0.5/pp_003_seed456.png
0.5,pp_003,789,6.318,0.27886,0.519143,0.535224,reports/experiments/exp5_controlnet_strength/images/strength_0.5/pp_003_seed789.png
0.5,pp_003,1337,6.28,0.2817,0.403302,0.556167,reports/experiments/exp5_controlnet_strength/images/strength_0.5/pp_003_seed1337.png
0.5,pp_004,42,6.203,0.374204,0.505469,0.715874,reports/experiments/exp5_controlnet_strength/images/strength_0.5/pp_004_seed42.png
0.5,pp_004,123,6.125,0.37652,0.342187,0.681896,reports/experiments/exp5_controlnet_strength/images/strength_0.5/pp_004_seed123.png
0.5,pp_004,456,6.181,0.380322,0.45811,0.689097,reports/experiments/exp5_controlnet_strength/images/strength_0.5/pp_004_seed456.png
0.5,pp_004,789,6.278,0.344876,0.489394,0.548324,reports/experiments/exp5_controlnet_strength/images/strength_0.5/pp_004_seed789.png
0.5,pp_004,1337,6.228,0.352177,0.619854,0.678539,reports/experiments/exp5_controlnet_strength/images/strength_0.5/pp_004_seed1337.png
0.5,pp_005,42,6.423,0.355426,0.605024,0.708066,reports/experiments/exp5_controlnet_strength/images/strength_0.5/pp_005_seed42.png
0.5,pp_005,123,6.204,0.357017,0.323784,0.68945,reports/experiments/exp5_controlnet_strength/images/strength_0.5/pp_005_seed123.png
0.5,pp_005,456,6.093,0.360384,0.470976,0.816709,reports/experiments/exp5_controlnet_strength/images/strength_0.5/pp_005_seed456.png
0.5,pp_005,789,6.133,0.361556,0.499786,0.676307,reports/experiments/exp5_controlnet_strength/images/strength_0.5/pp_005_seed789.png
