cfg,prompt_id,seed,latency_s,clip_score,lpips_vs_ref,lpips_vs_prev,image_path
3,p05_texture,789,6.237,0.276381,0.512313,0.56137,reports/experiments/exp3_cfg_sweep/images/cfg_3/p05_texture_seed789.png
3,p05_texture,1337,5.814,0.290726,0.430985,0.57625,reports/experiments/exp3_cfg_sweep/images/cfg_3/p05_texture_seed1337.png
3,p06_arch,42,5.303,0.311438,0.446482,0.497347,reports/experiments/exp3_cfg_sweep/images/cfg_3/p06_arch_seed42.png
3,p06_arch,123,5.517,0.27639,0.268871,0.457564,reports/experiments/exp3_cfg_sweep/images/cfg_3/p06_arch_seed123.png
3,p06_arch,456,5.724,0.298557,0.391295,0.542661,reports/experiments/exp3_cfg_sweep/images/cfg_3/p06_arch_seed456.png
3,p06_arch,789,5.474,0.33111,0.320711,0.388841,reports/experiments/exp3_cfg_sweep/images/cfg_3/p06_arch_seed789.png
3,p06_arch,1337,5.621,0.320224,0.342769,0.449168,reports/experiments/exp3_cfg_sweep/images/cfg_3/p06_arch_seed1337.png
3,p07_hands,42,5.943,0.277749,0.469047,0.514716,reports/experiments/exp3_cfg_sweep/images/cfg_3/p07_hands_seed42.png
3,p07_hands,123,5.796,0.265295,0.675094,0.561971,reports/experiments/exp3_cfg_sweep/images/cfg_3/p07_hands_seed123.png
3,p07_hands,456,5.688,0.236233,0.500114,0.590556,reports/experiments/exp3_cfg_sweep/images/cfg_3/p07_hands_seed456.png
3,p07_hands,789,5.878,0.331919,0.431679,0.597061,reports/experiments/exp3_cfg_sweep/images/cfg_3/p07_hands_seed789.png
3,p07_hands,1337,6.022,0.279496,0.545564,0.635035,reports/experiments/exp3_cfg_sweep/images/cfg_3/p07_hands_seed1337.png
3,p08_crowd,42,5.759,0.317241,0.420416,0.490131,reports/experiments/exp3_cfg_sweep/images/cfg_3/p08_crowd_seed42.png
3,p08_crowd,123,5.108,0.305071,0.448757,0.422917,reports/experiments/exp3_cfg_sweep/images/cfg_3/p08_crowd_seed123.png
3,p08_crowd,456,6.027,0.312091,0.377111,0.582624,reports/experiments/exp3_cfg_sweep/images/cfg_3/p08_crowd_seed456.png
3,p08_crowd,789,5.799,0.291379,0.337326,0.441486,reports/experiments/exp3_cfg_sweep/images/cfg_3/p08_crowd_seed789.png
3,p08_crowd,1337,5.853,0.309141,0.511373,0.502048,reports/experiments/exp3_cfg_sweep/images/cfg_3/p08_crowd_seed1337.png
5,p01_portrait,42,5.868,0.322347,0.267689,0.545885,reports/experiments/exp3_cfg_sweep/images/cfg_5/p01_portrait_seed42.png
5,p01_portrait,123,5.87,0.314986,0.177688,0.310253,reports/experiments/exp3_cfg_sweep/images/cfg_5/p01_portrait_seed123.png
5,p01_portrait,456,5.92,0.278088,0.190703,0.357858,reports/experiments/exp3_cfg_sweep/images/cfg_5/p01_portrait_seed456.png
5,p01_portrait,789,5.797,0.324058,0.338063,0.355252,reports/experiments/exp3_cfg_sweep/images/cfg_5/p01_portrait_seed789.png
5,p01_portrait,1337,5.787,0.333144,0.168921,0.366707,reports/experiments/exp3_cfg_sweep/images/cfg_5/p01_portrait_seed1337.png
5,p02_landscape,42,5.777,0.328466,0.214842,0.295236,reports/experiments/exp3_cfg_sweep/images/cfg_5/p02_landscape_seed42.png
5,p02_landscape,123,5.652,0.300246,0.169918,0.434577,reports/experiments/exp3_cfg_sweep/images/cfg_5/p02_landscape_seed123.png
5,p02_landscape,456,5.844,0.313699,0.21442,0.267617,reports/experiments/exp3_cfg_sweep/images/cfg_5/p02_landscape_seed456.png
5,p02_landscape,789,5.633,0.306327,0.300638,0.423116,reports/experiments/exp3_cfg_sweep/images/cfg_5/p02_landscape_seed789.png
5,p02_landscape,1337,5.443,0.308371,0.177934,0.161581,reports/experiments/exp3_cfg_sweep/images/cfg_5/p02_landscape_seed1337.png
5,p03_abstract,42,5.602,0.323203,0.332035,0.387854,reports/experiments/exp3_cfg_sweep/images/cfg_5/p03_abstract_seed42.png
