alpha,prompt_id,seed,latency_s,clip_score,lpips_vs_ref,lpips_vs_prev,image_path
0.75,p03_abstract,42,6.014,0.3309,0.461921,0.418898,reports/experiments/exp6_lora_alpha/images/alpha_0.75/p03_abstract_seed42.png
0.75,p03_abstract,123,6.017,0.323799,0.641937,0.664139,reports/experiments/exp6_lora_alpha/images/alpha_0.75/p03_abstract_seed123.png
0.75,p03_abstract,456,6.34,0.296691,0.299526,0.542021,reports/experiments/exp6_lora_alpha/images/alpha_0.75/p03_abstract_seed456.png
0.75,p03_abstract,789,6.443,0.337356,0.198327,0.278211,reports/experiments/exp6_lora_alpha/images/alpha_0.75/p03_abstract_seed789.png
0.75,p03_abstract,1337,6.287,0.321293,0.232336,0.563152,reports/experiments/exp6_lora_alpha/images/alpha_0.75/p03_abstract_seed1337.png
0.75,p04_text,42,6.191,0.349472,0.473212,0.56101,reports/experiments/exp6_lora_alpha/images/alpha_0.75/p04_text_seed42.png
0.75,p04_text,123,6.228,0.251479,0.375944,0.335506,reports/experiments/exp6_lora_alpha/images/alpha_0.75/p04_text_seed123.png
0.75,p04_text,456,6.287,0.326001,0.603632,0.536951,reports/experiments/exp6_lora_alpha/images/alpha_0.75/p04_text_seed456.png
0.75,p04_text,789,6.477,0.344117,0.432702,0.328829,reports/experiments/exp6_lora_alpha/images/alpha_0.75/p04_text_seed789.png
0.75,p04_text,1337,6.204,0.283096,0.463045,0.466398,reports/experiments/exp6_lora_alpha/images/alpha_0.75/p04_text_seed1337.png
0.75,p05_texture,42,6.215,0.304308,0.31725,0.224443,reports/experiments/exp6_lora_alpha/images/alpha_0.75/p05_texture_seed42.png
0.75,p05_texture,123,6.237,0.342736,0.249748,0.340509,reports/experiments/exp6_lora_alpha/images/alpha_0.75/p05_texture_seed123.png
0.75,p05_texture,456,6.149,0.291924,0.512981,0.600684,reports/experiments/exp6_lora_alpha/images/alpha_0.75/p05_texture_seed456.png
0.75,p05_texture,789,6.442,0.327939,0.189282,0.399923,reports/experiments/exp6_lora_alpha/images/alpha_0.75/p05_texture_seed789.png
0.75,p05_texture,1337,6.059,0.30196,0.148422,0.236824,reports/experiments/exp6_lora_alpha/images/alpha_0.75/p05_texture_seed1337.png
0.75,p06_arch,42,4.229,0.337153,0.526861,0.360764,reports/experiments/exp6_lora_alpha/images/alpha_0.75/p06_arch_seed42.png
0.75,p06_arch,123,5.784,0.306145,0.42267,0.213373,reports/experiments/exp6_lora_alpha/images/alpha_0.75/p06_arch_seed123.png
0.75,p06_arch,456,7.195,0.310859,0.541555,0.466716,reports/experiments/exp6_lora_alpha/images/alpha_0.75/p06_arch_seed456.png
0.75,p06_arch,789,6.204,0.301815,0.299933,0.28601,reports/experiments/exp6_lora_alpha/images/alpha_0.75/p06_arch_seed789.png
0.75,p06_arch,1337,6.351,0.333423,0.578944,0.464911,reports/experiments/exp6_lora_alpha/images/alpha_0.75/p06_arch_seed1337.png
0.75,p07_hands,42,6.652,0.328475,0.532981,0.49621,reports/experiments/exp6_lora_alpha/images/alpha_0.75/p07_hands_seed42.png
0.75,p07_hands,123,6.11,0.29359,0.529567,0.508812,reports/experiments/exp6_lora_alpha/images/alpha_0.75/p07_hands_seed123.png
0.75,p07_hands,456,6.056,0.293372,0.383622,0.469321,reports/experiments/exp6_lora_alpha/images/alpha_0.75/p07_hands_seed456.png
0.75,p07_hands,789,6.249,0.308879,0.317437,0.579023,reports/experiments/exp6_lora_alpha/images/alpha_0.75/p07_hands_seed789.png
0.75,p07_hands,1337,6.021,0.328894,0.5298,0.468075,reports/experiments/exp6_lora_alpha/images/alpha_0.75/p07_hands_seed1337.png
0.75,p08_crowd,42,6.153,0.375099,0.453015,0.406339,reports/experiments/exp6_lora_alpha/images/alpha_0.75/p08_crowd_seed42.png
0.75,p08_crowd,123,6.086,0.356204,0.302915,0.443069,reports/experiments/exp6_lora_alpha/images/alpha_0.75/p08_crowd_seed123.png
0.75,p08_crowd,456,6.108,0.384001,0.365979,0.346887,reports/experiments/exp6_lora_alpha/images/alpha_0.75/p08_crowd_seed456.png
0.75,p08_crowd,789,6.158,0.388109,0.327743,0.428318,reports/experiments/exp6_lora_alpha/images/alpha_0.75/p08_crowd_seed789.png
0.75,p08_crowd,1337,6.333,0.377936,0.485383,0.394555,reports/experiments/exp6_lora_alpha/images/alpha_0.75/p08_crowd_seed1337.png
1.0,p01_portrait,42,6.133,0.356741,0.0,0.487589,reports/experiments/exp6_lora_alpha/images/alpha_1.0/p01_portrait_seed42.png
1.0,p01_portrait,123,6.333,0.346732,0.0,0.557962,reports/experiments/exp6_lora_alpha/images/alpha_1.0/p01_portrait_seed123.png
