condition,prompt_id,seed,latency_s,peak_vram_mb,clip_score,hps_score,ir_score,lpips,image_path
int8,p03_abstract,123,26.186,5497.6,0.306203,0.233765,-0.217529,0.229697,reports/experiments/exp1_sdxl/images/int8/p03_abstract_seed123.png
int8,p03_abstract,456,26.477,5497.7,0.316216,0.21521,0.067404,0.136142,reports/experiments/exp1_sdxl/images/int8/p03_abstract_seed456.png
int8,p03_abstract,789,26.309,5497.7,0.313835,0.227539,0.124319,0.238855,reports/experiments/exp1_sdxl/images/int8/p03_abstract_seed789.png
int8,p03_abstract,1337,26.369,5497.7,0.338221,0.23999,0.161086,0.190208,reports/experiments/exp1_sdxl/images/int8/p03_abstract_seed1337.png
int8,p04_text,42,26.461,5497.7,0.283075,0.297363,0.473403,0.119094,reports/experiments/exp1_sdxl/images/int8/p04_text_seed42.png
int8,p04_text,123,26.418,5497.7,0.293051,0.28833,0.764276,0.201512,reports/experiments/exp1_sdxl/images/int8/p04_text_seed123.png
int8,p04_text,456,26.494,5497.7,0.299226,0.286133,0.740931,0.175305,reports/experiments/exp1_sdxl/images/int8/p04_text_seed456.png
int8,p04_text,789,26.55,5497.7,0.293856,0.258301,0.37038,0.133973,reports/experiments/exp1_sdxl/images/int8/p04_text_seed789.png
int8,p04_text,1337,26.557,5497.7,0.311835,0.266113,0.558563,0.097942,reports/experiments/exp1_sdxl/images/int8/p04_text_seed1337.png
int8,p05_texture,42,26.398,5497.6,0.311191,0.241455,-0.733973,0.098767,reports/experiments/exp1_sdxl/images/int8/p05_texture_seed42.png
int8,p05_texture,123,26.363,5497.6,0.353139,0.23938,0.468491,0.121814,reports/experiments/exp1_sdxl/images/int8/p05_texture_seed123.png
int8,p05_texture,456,26.346,5497.6,0.298735,0.246216,-0.479346,0.080617,reports/experiments/exp1_sdxl/images/int8/p05_texture_seed456.png
int8,p05_texture,789,26.457,5497.6,0.303367,0.227295,-0.257668,0.184025,reports/experiments/exp1_sdxl/images/int8/p05_texture_seed789.png
int8,p05_texture,1337,26.321,5497.6,0.329172,0.259766,0.709113,0.040499,reports/experiments/exp1_sdxl/images/int8/p05_texture_seed1337.png
int8,p06_arch,42,26.646,5497.7,0.326037,0.321533,0.091268,0.084929,reports/experiments/exp1_sdxl/images/int8/p06_arch_seed42.png
int8,p06_arch,123,26.477,5497.7,0.324158,0.312256,0.101878,0.182651,reports/experiments/exp1_sdxl/images/int8/p06_arch_seed123.png
int8,p06_arch,456,26.683,5497.7,0.297946,0.313721,-0.144826,0.302114,reports/experiments/exp1_sdxl/images/int8/p06_arch_seed456.png
int8,p06_arch,789,26.623,5497.7,0.325245,0.321045,0.375894,0.154164,reports/experiments/exp1_sdxl/images/int8/p06_arch_seed789.png
int8,p06_arch,1337,26.513,5497.7,0.330986,0.326172,0.071588,0.119079,reports/experiments/exp1_sdxl/images/int8/p06_arch_seed1337.png
int8,p07_hands,42,26.729,5497.7,0.350227,0.281982,0.378619,0.117808,reports/experiments/exp1_sdxl/images/int8/p07_hands_seed42.png
int8,p07_hands,123,26.535,5497.7,0.308736,0.253906,-0.176641,0.156009,reports/experiments/exp1_sdxl/images/int8/p07_hands_seed123.png
int8,p07_hands,456,26.684,5497.7,0.318975,0.28125,0.772377,0.063612,reports/experiments/exp1_sdxl/images/int8/p07_hands_seed456.png
int8,p07_hands,789,26.621,5497.7,0.324851,0.278809,0.191049,0.04799,reports/experiments/exp1_sdxl/images/int8/p07_hands_seed789.png
int8,p07_hands,1337,26.699,5497.7,0.328546,0.240234,0.073478,0.022746,reports/experiments/exp1_sdxl/images/int8/p07_hands_seed1337.png
int8,p08_crowd,42,26.681,5497.7,0.340478,0.312744,1.563947,0.077855,reports/experiments/exp1_sdxl/images/int8/p08_crowd_seed42.png
int8,p08_crowd,123,26.667,5497.7,0.337816,0.309814,1.754346,0.197494,reports/experiments/exp1_sdxl/images/int8/p08_crowd_seed123.png
int8,p08_crowd,456,26.816,5497.7,0.317367,0.299805,1.620843,0.111572,reports/experiments/exp1_sdxl/images/int8/p08_crowd_seed456.png
int8,p08_crowd,789,26.718,5497.7,0.339916,0.314453,1.272354,0.080228,reports/experiments/exp1_sdxl/images/int8/p08_crowd_seed789.png
int8,p08_crowd,1337,26.725,5497.7,0.320388,0.296143,1.602351,0.114719,reports/experiments/exp1_sdxl/images/int8/p08_crowd_seed1337.png
nf4,p01_portrait,42,22.962,2610.6,0.359585,0.340088,1.608544,0.229756,reports/experiments/exp1_sdxl/images/nf4/p01_portrait_seed42.png
nf4,p01_portrait,123,15.045,2610.6,0.370479,0.326172,1.360881,0.330201,reports/experiments/exp1_sdxl/images/nf4/p01_portrait_seed123.png
