alpha,prompt_id,seed,latency_s,clip_score,hps_score,ir_score,lpips_vs_ref,image_path
0.5,p08_crowd,42,17.278,0.371199,0.291504,1.523013,0.554119,reports/experiments/exp8_sdxl/images/alpha_0.5/p08_crowd_seed42.png
0.5,p08_crowd,123,17.369,0.375324,0.272461,1.731904,0.49053,reports/experiments/exp8_sdxl/images/alpha_0.5/p08_crowd_seed123.png
0.5,p08_crowd,456,17.346,0.347641,0.284424,1.499137,0.584213,reports/experiments/exp8_sdxl/images/alpha_0.5/p08_crowd_seed456.png
0.5,p08_crowd,789,17.291,0.378677,0.280029,1.696583,0.587771,reports/experiments/exp8_sdxl/images/alpha_0.5/p08_crowd_seed789.png
0.5,p08_crowd,1337,17.332,0.34617,0.259521,1.580251,0.512253,reports/experiments/exp8_sdxl/images/alpha_0.5/p08_crowd_seed1337.png
0.75,p01_portrait,42,17.393,0.348536,0.266846,0.135584,0.446977,reports/experiments/exp8_sdxl/images/alpha_0.75/p01_portrait_seed42.png
0.75,p01_portrait,123,17.346,0.35082,0.23584,0.603461,0.437818,reports/experiments/exp8_sdxl/images/alpha_0.75/p01_portrait_seed123.png
0.75,p01_portrait,456,17.252,0.32895,0.236206,0.292675,0.423457,reports/experiments/exp8_sdxl/images/alpha_0.75/p01_portrait_seed456.png
0.75,p01_portrait,789,17.34,0.321797,0.244873,0.105602,0.475856,reports/experiments/exp8_sdxl/images/alpha_0.75/p01_portrait_seed789.png
0.75,p01_portrait,1337,17.313,0.313688,0.247681,0.152211,0.395519,reports/experiments/exp8_sdxl/images/alpha_0.75/p01_portrait_seed1337.png
0.75,p02_landscape,42,17.184,0.349353,0.28125,1.374497,0.30808,reports/experiments/exp8_sdxl/images/alpha_0.75/p02_landscape_seed42.png
0.75,p02_landscape,123,17.188,0.370614,0.27832,0.959403,0.34028,reports/experiments/exp8_sdxl/images/alpha_0.75/p02_landscape_seed123.png
0.75,p02_landscape,456,17.277,0.36849,0.276611,1.347435,0.184224,reports/experiments/exp8_sdxl/images/alpha_0.75/p02_landscape_seed456.png
0.75,p02_landscape,789,17.263,0.374284,0.263184,1.530685,0.432252,reports/experiments/exp8_sdxl/images/alpha_0.75/p02_landscape_seed789.png
0.75,p02_landscape,1337,17.176,0.35509,0.278564,1.468369,0.304314,reports/experiments/exp8_sdxl/images/alpha_0.75/p02_landscape_seed1337.png
0.75,p03_abstract,42,17.203,0.280409,0.22229,-0.537744,0.375532,reports/experiments/exp8_sdxl/images/alpha_0.75/p03_abstract_seed42.png
0.75,p03_abstract,123,17.242,0.310097,0.245972,0.347244,0.308094,reports/experiments/exp8_sdxl/images/alpha_0.75/p03_abstract_seed123.png
0.75,p03_abstract,456,17.285,0.31302,0.237183,0.879523,0.445652,reports/experiments/exp8_sdxl/images/alpha_0.75/p03_abstract_seed456.png
0.75,p03_abstract,789,17.353,0.283951,0.234131,0.026322,0.36685,reports/experiments/exp8_sdxl/images/alpha_0.75/p03_abstract_seed789.png
0.75,p03_abstract,1337,17.339,0.293548,0.243896,0.610799,0.40106,reports/experiments/exp8_sdxl/images/alpha_0.75/p03_abstract_seed1337.png
0.75,p04_text,42,17.264,0.32553,0.19751,0.424653,0.369545,reports/experiments/exp8_sdxl/images/alpha_0.75/p04_text_seed42.png
0.75,p04_text,123,17.247,0.316247,0.205078,-0.071312,0.365128,reports/experiments/exp8_sdxl/images/alpha_0.75/p04_text_seed123.png
0.75,p04_text,456,17.263,0.308915,0.257324,1.19229,0.536194,reports/experiments/exp8_sdxl/images/alpha_0.75/p04_text_seed456.png
0.75,p04_text,789,17.229,0.299467,0.22876,0.840476,0.510467,reports/experiments/exp8_sdxl/images/alpha_0.75/p04_text_seed789.png
0.75,p04_text,1337,17.261,0.312802,0.222046,1.268209,0.519556,reports/experiments/exp8_sdxl/images/alpha_0.75/p04_text_seed1337.png
0.75,p05_texture,42,17.287,0.326085,0.205933,-1.588823,0.280041,reports/experiments/exp8_sdxl/images/alpha_0.75/p05_texture_seed42.png
0.75,p05_texture,123,17.246,0.326238,0.219849,-1.350102,0.295821,reports/experiments/exp8_sdxl/images/alpha_0.75/p05_texture_seed123.png
0.75,p05_texture,456,17.248,0.293999,0.244385,-0.436961,0.302703,reports/experiments/exp8_sdxl/images/alpha_0.75/p05_texture_seed456.png
0.75,p05_texture,789,17.385,0.320039,0.219482,-1.527245,0.319065,reports/experiments/exp8_sdxl/images/alpha_0.75/p05_texture_seed789.png
0.75,p05_texture,1337,17.331,0.309291,0.21936,-1.786186,0.298761,reports/experiments/exp8_sdxl/images/alpha_0.75/p05_texture_seed1337.png
0.75,p06_arch,42,17.293,0.323385,0.251465,0.4717,0.450204,reports/experiments/exp8_sdxl/images/alpha_0.75/p06_arch_seed42.png
